ts_ns,syscall,proc_name,tid,evt_cpu,label
1780373042095075546,clock_gettime,user,134397,0,0
1780373042095076670,clock_gettime,user,134397,0,0
1780373042095077347,clock_gettime,user,134397,0,0
1780373042095078372,clock_gettime,user,134397,0,0
1780373042095079108,select,user,134397,0,0
1780373042095088462,switch,user,134397,0,0
1780373042095172744,select,user,134397,0,0
1780373042095173649,clock_gettime,user,134397,0,0
1780373042095174765,clock_gettime,user,134397,0,0
1780373042095175432,clock_gettime,user,134397,0,0
1780373042095176456,clock_gettime,user,134397,0,0
1780373042095177203,select,user,134397,0,0
1780373042095186496,switch,user,134397,0,0
1780373042095270759,select,user,134397,0,0
1780373042095271654,clock_gettime,user,134397,0,0
1780373042095272779,clock_gettime,user,134397,0,0
1780373042095273445,clock_gettime,user,134397,0,0
1780373042095274470,clock_gettime,user,134397,0,0
1780373042095275206,select,user,134397,0,0
1780373042095284520,switch,user,134397,0,0
1780373042095359260,clock_gettime,user,134036,1,0
1780373042095359260,clock_gettime,user,134036,1,0
1780373042095359260,clock_gettime,user,134036,1,0
1780373042095366913,clock_gettime,user,134036,1,0
1780373042095368007,clock_gettime,user,134036,1,0
1780373042095369052,select,user,134397,0,0
1780373042095369052,clock_gettime,user,134036,1,0
1780373042095370067,clock_gettime,user,134397,0,0
1780373042095371510,clock_gettime,user,134397,0,0
1780373042095371510,clock_gettime,user,134036,1,0
1780373042095372186,clock_gettime,user,134397,0,0
1780373042095372624,clock_gettime,user,134036,1,0
1780373042095373311,clock_gettime,user,134397,0,0
1780373042095374166,select,user,134397,0,0
1780373042095375241,write,user,134036,1,0
1780373042095383550,switch,user,134397,0,0
1780373042095445603,write,user,134036,1,0
1780373042095445603,clock_gettime,user,134036,1,0
1780373042095445603,clock_gettime,user,134036,1,0
1780373042095445603,clock_gettime,user,134036,1,0
1780373042095445603,clock_gettime,user,134036,1,0
1780373042095445603,clock_gettime,user,134036,1,0
1780373042095445603,clock_gettime,user,134036,1,0
1780373042095445603,clock_gettime,user,134036,1,0
1780373042095445603,clock_gettime,user,134036,1,0
1780373042095445603,futex,user,134036,1,0
1780373042095479276,switch,user,134036,1,0
1780373042096041707,select,user,134397,1,0
1780373042096045261,clock_gettime,user,134397,1,0
1780373042096047042,clock_gettime,user,134397,1,0
1780373042096047987,futex,user,134397,1,0
1780373042096061738,switch,user,134397,1,0
1780373042096454005,epoll_wait,user,134399,0,0
1780373042096457766,clock_gettime,user,134399,0,0
1780373042096458991,clock_gettime,user,134399,0,0
1780373042096466275,futex,user,134399,0,0
1780373042096479728,futex,user,134399,0,0
1780373042096481011,read,user,134399,0,0
1780373042096486922,read,user,134399,0,0
1780373042096501192,read,user,134399,0,0
1780373042096503660,read,user,134399,0,0
1780373042096505988,read,user,134399,0,0
1780373042096508854,read,user,134399,0,0
1780373042096513610,futex,user,134399,0,0
1780373042096516157,futex,user,134399,0,0
1780373042096517730,clock_gettime,user,134399,0,0
1780373042096518963,clock_gettime,user,134399,0,0
1780373042096519988,clock_gettime,user,134399,0,0
1780373042096521123,clock_gettime,user,134399,0,0
1780373042096523730,read,user,134399,0,0
1780373042096525740,read,user,134399,0,0
1780373042096563688,futex,user,134397,1,0
1780373042096569181,clock_gettime,user,134397,1,0
1780373042096571450,clock_gettime,user,134397,1,0
1780373042096572535,clock_gettime,user,134397,1,0
1780373042096573650,clock_gettime,user,134397,1,0
1780373042096574983,select,user,134397,1,0
1780373042096597431,switch,user,134397,1,0
1780373042096600128,futex,user,134036,1,0
1780373042096603412,epoll_wait,user,134036,1,0
1780373042096605929,epoll_wait,user,134036,1,0
1780373042096608586,epoll_wait,user,134036,1,0
1780373042096620040,switch,user,134036,1,0
1780373042096621383,clock_gettime,user,134399,0,0
1780373042096621383,clock_gettime,user,134399,0,0
1780373042096621383,clock_gettime,user,134399,0,0
1780373042096621655,clock_gettime,user,134399,0,0
1780373042096698206,select,user,134397,1,0
1780373042096699997,clock_gettime,user,134397,1,0
1780373042096701400,clock_gettime,user,134397,1,0
1780373042096702166,clock_gettime,user,134397,1,0
1780373042096703191,clock_gettime,user,134397,1,0
1780373042096704066,select,user,134397,1,0
1780373042096716405,switch,user,134397,1,0
1780373042096781970,write,user,134399,0,0
1780373042096818399,select,user,134397,1,0
1780373042096819493,clock_gettime,user,134397,1,0
1780373042096820687,clock_gettime,user,134397,1,0
1780373042096821394,clock_gettime,user,134397,1,0
1780373042096822409,clock_gettime,user,134397,1,0
1780373042096823225,select,user,134397,1,0
1780373042096824359,write,user,134399,0,0
1780373042096846768,switch,user,134397,1,0
1780373042096877248,clock_gettime,user,134399,0,0
1780373042096893168,clock_gettime,user,134399,0,0
1780373042096893168,switch,user,134399,0,0
1780373042096976774,select,user,134397,1,0
1780373042096978973,clock_gettime,user,134397,1,0
1780373042096980137,clock_gettime,user,134397,1,0
1780373042096981212,clock_gettime,user,134397,1,0
1780373042096982256,clock_gettime,user,134397,1,0
1780373042096983222,select,user,134397,1,0
1780373042097004497,switch,user,134397,1,0
1780373042097101618,select,user,134397,1,0
1780373042097103051,clock_gettime,user,134397,1,0
1780373042097104275,clock_gettime,user,134397,1,0
1780373042097105161,clock_gettime,user,134397,1,0
1780373042097106205,clock_gettime,user,134397,1,0
1780373042097107001,select,user,134397,1,0
1780373042097118673,switch,user,134397,1,0
1780373042097220327,select,user,134397,1,0
1780373042097221421,clock_gettime,user,134397,1,0
1780373042097222715,clock_gettime,user,134397,1,0
1780373042097223541,clock_gettime,user,134397,1,0
1780373042097224645,clock_gettime,user,134397,1,0
1780373042097225481,select,user,134397,1,0
1780373042097236586,clock_gettime,user,134399,0,0
1780373042097236586,switch,user,134397,1,0
1780373042097237700,clock_gettime,user,134399,0,0
1780373042097237700,futex,user,134399,0,0
1780373042097238568,futex,user,134399,0,0
1780373042097264319,futex,user,135703,1,0
1780373042097268995,select,user,135703,1,0
1780373042097272468,switch,user,135703,1,0
1780373042097273483,switch,user,134399,0,0
1780373042097322659,select,user,134397,1,0
1780373042097323943,clock_gettime,user,134397,1,0
1780373042097325097,clock_gettime,user,134397,1,0
1780373042097325774,clock_gettime,user,134397,1,0
1780373042097326788,clock_gettime,user,134397,1,0
1780373042097327644,select,user,134397,1,0
1780373042097339237,switch,user,134397,1,0
1780373042097341237,select,user,135703,1,0
1780373042097362045,clock_gettime,user,134399,0,0
1780373042097363896,clock_gettime,user,134399,0,0
1780373042097411987,clock_gettime,user,134399,0,0
1780373042097411987,clock_gettime,user,134399,0,0
1780373042097458665,futex,user,135703,1,0
1780373042097464327,switch,user,135703,1,0
1780373042097466894,select,user,134397,1,0
1780373042097468138,clock_gettime,user,134397,1,0
1780373042097469452,clock_gettime,user,134397,1,0
1780373042097470188,clock_gettime,user,134397,1,0
1780373042097471243,clock_gettime,user,134397,1,0
1780373042097472059,select,user,134397,1,0
1780373042097472815,write,user,134399,0,0
1780373042097484010,switch,user,134397,1,0
1780373042097541972,write,user,134399,0,0
1780373042097541972,epoll_ctl,user,134399,0,0
1780373042097560859,epoll_ctl,user,134399,0,0
1780373042097560859,close,user,134399,0,0
1780373042097619727,close,user,134399,0,0
1780373042097654516,clock_gettime,user,134399,0,0
1780373042097656457,clock_gettime,user,134399,0,0
1780373042097659740,futex,user,134399,0,0
1780373042097666079,switch,user,134399,0,0
1780373042099924287,select,user,134397,1,0
1780373042099931483,clock_gettime,user,134397,1,0
1780373042099933005,clock_gettime,user,134397,1,0
1780373042099934378,futex,user,134397,1,0
1780373042099963466,switch,user,134397,1,0
1780373042200290737,epoll_wait,user,134036,1,0
1780373042200295732,clock_gettime,user,134036,1,0
1780373042200296549,clock_gettime,user,134036,1,0
1780373042200304071,futex,user,134036,1,0
1780373042200310818,futex,user,134036,1,0
1780373042200311435,accept4,user,134036,1,0
1780373042200338153,accept4,user,134036,1,0
1780373042200346730,epoll_ctl,user,134036,1,0
1780373042200351158,epoll_ctl,user,134036,1,0
1780373042200352053,getsockname,user,134036,1,0
1780373042200353317,getsockname,user,134036,1,0
1780373042200362601,setsockopt,user,134036,1,0
1780373042200364601,setsockopt,user,134036,1,0
1780373042200367467,setsockopt,user,134036,1,0
1780373042200369566,setsockopt,user,134036,1,0
1780373042200370870,setsockopt,user,134036,1,0
1780373042200371806,setsockopt,user,134036,1,0
1780373042200372483,setsockopt,user,134036,1,0
1780373042200373647,setsockopt,user,134036,1,0
1780373042200379448,futex,user,134036,1,0
1780373042200386533,futex,user,134036,1,0
1780373042200388264,accept4,user,134036,1,0
1780373042200393607,accept4,user,134036,1,0
1780373042200436355,read,user,134036,1,0
1780373042200442286,futex,user,134399,0,0
1780373042200442286,read,user,134036,1,0
1780373042200471740,epoll_wait,user,134399,0,0
1780373042200471740,clock_gettime,user,134036,1,0
1780373042200472984,epoll_wait,user,134399,0,0
1780373042200472984,epoll_wait,user,134399,0,0
1780373042200472984,switch,user,134399,0,0
1780373042200472984,clock_gettime,user,134036,1,0
1780373042200551405,clock_gettime,user,134036,1,0
1780373042200552171,clock_gettime,user,134036,1,0
1780373042200553724,clock_gettime,user,134036,1,0
1780373042200554361,clock_gettime,user,134036,1,0
1780373042200561785,clock_gettime,user,134036,1,0
1780373042200562033,futex,user,134397,0,0
1780373042200562431,clock_gettime,user,134397,0,0
1780373042200562431,clock_gettime,user,134397,0,0
1780373042200562431,clock_gettime,user,134397,0,0
1780373042200562431,clock_gettime,user,134397,0,0
1780373042200562431,select,user,134397,0,0
1780373042200562431,switch,user,134397,0,0
1780373042200562431,clock_gettime,user,134036,1,0
1780373042200636057,clock_gettime,user,134036,1,0
1780373042200636803,clock_gettime,user,134036,1,0
1780373042200637619,clock_gettime,user,134036,1,0
1780373042200638146,clock_gettime,user,134036,1,0
1780373042200639072,clock_gettime,user,134036,1,0
1780373042200639639,clock_gettime,user,134036,1,0
1780373042200640624,clock_gettime,user,134036,1,0
1780373042200641131,clock_gettime,user,134036,1,0
1780373042200643470,write,user,134036,1,0
1780373042200673744,select,user,134397,0,0
1780373042200674481,clock_gettime,user,134397,0,0
1780373042200674928,clock_gettime,user,134397,0,0
