ts_ns,syscall,proc_name,tid,evt_cpu,label
1780278280311839833,epoll_wait,node,170295,0,0
1780278280311840520,clock_gettime,node,170295,0,0
1780278280311841226,clock_gettime,node,170295,0,0
1780278280311841933,read,node,170295,0,0
1780278280311843057,read,node,170295,0,0
1780278280311848401,futex,node,170295,0,0
1780278280311862202,futex,node,170295,0,0
1780278280311865217,clock_gettime,node,170295,0,0
1780278280311866361,clock_gettime,node,170295,0,0
1780278280311867386,clock_gettime,node,170295,0,0
1780278280311868272,clock_gettime,node,170295,0,0
1780278280311869217,epoll_wait,node,170295,0,0
1780278280311893756,switch,node,170295,0,0
1780278280311926125,futex,node,170301,1,0
1780278280311931429,close,node,170301,1,0
1780278280311935071,close,node,170301,1,0
1780278280311942037,write,node,170301,1,0
1780278280311959340,write,node,170301,1,0
1780278280311962405,futex,node,170301,1,0
1780278280311968067,switch,node,170301,1,0
1780278280312001761,epoll_wait,node,170295,0,0
1780278280312004139,clock_gettime,node,170295,0,0
1780278280312005433,clock_gettime,node,170295,0,0
1780278280312006488,read,node,170295,0,0
1780278280312008667,read,node,170295,0,0
1780278280312248188,clock_gettime,node,170295,0,0
1780278280312250238,clock_gettime,node,170295,0,0
1780278280312251910,clock_gettime,node,170295,0,0
1780278280312252636,clock_gettime,node,170295,0,0
1780278280312253661,epoll_wait,node,170295,0,0
1780278280312261731,switch,node,170295,0,0
1780278290320580423,epoll_wait,node,170295,0,0
1780278290320590353,clock_gettime,node,170295,0,0
1780278290320591607,clock_gettime,node,170295,0,0
1780278290320593886,clock_gettime,node,170295,0,0
1780278290320594572,clock_gettime,node,170295,0,0
1780278290320655729,getrusage,node,170295,0,0
1780278290320664197,getrusage,node,170295,0,0
1780278290320750937,futex,node,170295,0,0
1780278290320756738,futex,node,170295,0,0
1780278290320758718,switch,node,170295,0,0
1780278290320760788,futex,node,170303,0,0
1780278290320771823,futex,node,170303,0,0
1780278290320775197,switch,node,170303,0,0
1780278290320777496,futex,node,170295,0,0
1780278290320779944,futex,node,170295,0,0
1780278290320780969,switch,node,170295,0,0
1780278290320782143,futex,node,170303,0,0
1780278290320794252,open,node,170303,0,0
1780278290320850195,open,node,170303,0,0
1780278290320853011,fcntl,node,170303,0,0
1780278290320857370,fcntl,node,170303,0,0
1780278290320859042,write,node,170303,0,0
1780278290320865490,write,node,170303,0,0
1780278290320867798,futex,node,170303,0,0
1780278290320871400,switch,node,170303,0,0
1780278290320882156,futex,node,170295,0,0
1780278290320885848,futex,node,170295,0,0
1780278290320886933,switch,node,170295,0,0
1780278290320888903,futex,node,170302,0,0
1780278290320899601,futex,node,170302,0,0
1780278290320902108,switch,node,170302,0,0
1780278290320904327,futex,node,170295,0,0
1780278290320906546,futex,node,170295,0,0
1780278290320907471,switch,node,170295,0,0
1780278290320908626,futex,node,170302,0,0
1780278290320911531,open,node,170302,0,0
1780278290320922029,open,node,170302,0,0
1780278290320923571,fcntl,node,170302,0,0
1780278290320924845,fcntl,node,170302,0,0
1780278290320928148,getdents64,node,170302,0,0
1780278290320948488,getdents64,node,170302,0,0
1780278290320955961,getdents64,node,170302,0,0
1780278290320956986,getdents64,node,170302,0,0
1780278290320958817,close,node,170302,0,0
1780278290320962856,close,node,170302,0,0
1780278290320974419,futex,node,170302,0,0
1780278290320976768,switch,node,170302,0,0
1780278290320982410,clock_gettime,node,170295,0,0
1780278290320983704,clock_gettime,node,170295,0,0
1780278290321051586,open,node,170295,0,0
1780278290321062971,open,node,170295,0,0
1780278290321064951,read,node,170295,0,0
1780278290321084324,read,node,170295,0,0
1780278290321086275,close,node,170295,0,0
1780278290321087707,close,node,170295,0,0
1780278290321141651,clock_gettime,node,170295,0,0
1780278290321142885,clock_gettime,node,170295,0,0
1780278290321144765,epoll_wait,node,170295,0,0
1780278290321147452,epoll_wait,node,170295,0,0
1780278290321148278,clock_gettime,node,170295,0,0
1780278290321149024,clock_gettime,node,170295,0,0
1780278290321150109,read,node,170295,0,0
1780278290321152119,read,node,170295,0,0
1780278290321163691,futex,node,170295,0,0
1780278290321168567,futex,node,170295,0,0
1780278290321169980,switch,node,170295,0,0
1780278290321172109,futex,node,170304,0,0
1780278290321182966,futex,node,170304,0,0
1780278290321185802,switch,node,170304,0,0
1780278290321187822,futex,node,170295,0,0
1780278290321190180,futex,node,170295,0,0
1780278290321191105,switch,node,170295,0,0
1780278290321192309,futex,node,170304,0,0
1780278290321194479,fstat,node,170304,0,0
1780278290321199424,fstat,node,170304,0,0
1780278290321200449,write,node,170304,0,0
1780278290321202021,write,node,170304,0,0
