ts_ns,syscall,proc_name,tid,evt_cpu
1780158319845764044,clock_gettime,runc:[2:INIT],140885,0
1780158319845765000,clock_gettime,runc:[2:INIT],140885,0
1780158319845765825,clock_gettime,runc:[2:INIT],140885,0
1780158319845766522,clock_gettime,runc:[2:INIT],140885,0
1780158319845768243,nanosleep,runc:[2:INIT],140885,0
1780158319845778542,switch,runc:[2:INIT],140885,0
1780158319845875949,nanosleep,runc:[2:INIT],140885,0
1780158319845878218,clock_gettime,runc:[2:INIT],140885,0
1780158319845879342,clock_gettime,runc:[2:INIT],140885,0
1780158319845880038,clock_gettime,runc:[2:INIT],140885,0
1780158319845880974,clock_gettime,runc:[2:INIT],140885,0
1780158319845881939,nanosleep,runc:[2:INIT],140885,0
1780158319845893223,switch,runc:[2:INIT],140885,0
1780158319845911194,clone3,runc:[2:INIT],140888,0
1780158319845926647,rseq,runc:[2:INIT],140888,0
1780158319845927423,rseq,runc:[2:INIT],140888,0
1780158319845928289,set_robust_list,runc:[2:INIT],140888,0
1780158319845928816,set_robust_list,runc:[2:INIT],140888,0
1780158319845929523,rt_sigprocmask,runc:[2:INIT],140888,0
1780158319845930319,rt_sigprocmask,runc:[2:INIT],140888,0
1780158319845931682,mmap,runc:[2:INIT],140888,0
1780158319845939861,mmap,runc:[2:INIT],140888,0
1780158319845940697,munmap,runc:[2:INIT],140888,0
1780158319845948927,munmap,runc:[2:INIT],140888,0
1780158319845949763,mprotect,runc:[2:INIT],140888,0
1780158319845981794,switch,runc:[2:INIT],140888,0
1780158319845983545,nanosleep,runc:[2:INIT],140885,0
1780158319845985037,clock_gettime,runc:[2:INIT],140885,0
1780158319845986192,clock_gettime,runc:[2:INIT],140885,0
1780158319845986888,clock_gettime,runc:[2:INIT],140885,0
1780158319845987684,clock_gettime,runc:[2:INIT],140885,0
1780158319845988829,nanosleep,runc:[2:INIT],140885,0
1780158319845998740,switch,runc:[2:INIT],140885,0
1780158319846005178,mprotect,runc:[2:INIT],140888,0
1780158319846013925,sigaltstack,runc:[2:INIT],140888,0
1780158319846014939,sigaltstack,runc:[2:INIT],140888,0
1780158319846015606,sigaltstack,runc:[2:INIT],140888,0
1780158319846016313,sigaltstack,runc:[2:INIT],140888,0
1780158319846018193,rt_sigprocmask,runc:[2:INIT],140888,0
1780158319846018940,rt_sigprocmask,runc:[2:INIT],140888,0
1780158319846019527,gettid,runc:[2:INIT],140888,0
1780158319846020094,gettid,runc:[2:INIT],140888,0
1780158319846023139,clock_gettime,runc:[2:INIT],140888,0
1780158319846023905,clock_gettime,runc:[2:INIT],140888,0
1780158319846025298,futex,runc:[2:INIT],140888,0
1780158319846029696,switch,runc:[2:INIT],140888,0
1780158319846095291,nanosleep,runc:[2:INIT],140885,0
1780158319846097858,clock_gettime,runc:[2:INIT],140885,0
1780158319846098724,clock_gettime,runc:[2:INIT],140885,0
1780158319846099520,clock_gettime,runc:[2:INIT],140885,0
1780158319846100207,clock_gettime,runc:[2:INIT],140885,0
1780158319846101530,nanosleep,runc:[2:INIT],140885,0
1780158319846111650,switch,runc:[2:INIT],140885,0
1780158319846120297,clone3,runc:[2:INIT],140889,0
1780158319846140736,rseq,runc:[2:INIT],140889,0
1780158319846141542,rseq,runc:[2:INIT],140889,0
1780158319846142348,set_robust_list,runc:[2:INIT],140889,0
1780158319846142815,set_robust_list,runc:[2:INIT],140889,0
1780158319846143592,rt_sigprocmask,runc:[2:INIT],140889,0
1780158319846144268,rt_sigprocmask,runc:[2:INIT],140889,0
1780158319846153114,mmap,runc:[2:INIT],140889,0
1780158319846162796,mmap,runc:[2:INIT],140889,0
1780158319846163791,mprotect,runc:[2:INIT],140889,0
1780158319846194917,switch,runc:[2:INIT],140889,0
1780158319846196658,nanosleep,runc:[2:INIT],140885,0
1780158319846205355,clock_gettime,runc:[2:INIT],140885,0
1780158319846206390,clock_gettime,runc:[2:INIT],140885,0
1780158319846207086,clock_gettime,runc:[2:INIT],140885,0
1780158319846207773,clock_gettime,runc:[2:INIT],140885,0
1780158319846208678,nanosleep,runc:[2:INIT],140885,0
1780158319846219922,switch,runc:[2:INIT],140885,0
1780158319846224569,mprotect,runc:[2:INIT],140889,0
1780158319846233216,sigaltstack,runc:[2:INIT],140889,0
1780158319846233972,sigaltstack,runc:[2:INIT],140889,0
1780158319846234619,sigaltstack,runc:[2:INIT],140889,0
1780158319846235256,sigaltstack,runc:[2:INIT],140889,0
1780158319846236490,rt_sigprocmask,runc:[2:INIT],140889,0
1780158319846237118,rt_sigprocmask,runc:[2:INIT],140889,0
1780158319846237675,gettid,runc:[2:INIT],140889,0
1780158319846238282,gettid,runc:[2:INIT],140889,0
1780158319846239685,futex,runc:[2:INIT],140889,0
1780158319846243645,switch,runc:[2:INIT],140889,0
1780158319846304085,nanosleep,runc:[2:INIT],140885,0
1780158319846306573,clock_gettime,runc:[2:INIT],140885,0
1780158319846307389,clock_gettime,runc:[2:INIT],140885,0
1780158319846308165,clock_gettime,runc:[2:INIT],140885,0
1780158319846308851,clock_gettime,runc:[2:INIT],140885,0
1780158319846309976,nanosleep,runc:[2:INIT],140885,0
1780158319846319876,switch,runc:[2:INIT],140885,0
1780158319846402208,nanosleep,runc:[2:INIT],140885,0
1780158319846404407,clock_gettime,runc:[2:INIT],140885,0
1780158319846405193,clock_gettime,runc:[2:INIT],140885,0
1780158319846405930,clock_gettime,runc:[2:INIT],140885,0
1780158319846406606,clock_gettime,runc:[2:INIT],140885,0
1780158319846407552,nanosleep,runc:[2:INIT],140885,0
1780158319846417572,switch,runc:[2:INIT],140885,0
1780158319846464151,futex,runc:[2:INIT],140888,0
1780158319846468897,nanosleep,runc:[2:INIT],140888,0
1780158319846472300,switch,runc:[2:INIT],140888,0
1780158319846506073,nanosleep,runc:[2:INIT],140885,0
1780158319846508162,clock_gettime,runc:[2:INIT],140885,0
1780158319846508958,clock_gettime,runc:[2:INIT],140885,0
1780158319846509685,clock_gettime,runc:[2:INIT],140885,0
1780158319846510371,clock_gettime,runc:[2:INIT],140885,0
1780158319846511615,nanosleep,runc:[2:INIT],140885,0
1780158319846521446,switch,runc:[2:INIT],140885,0
1780158319846522770,nanosleep,runc:[2:INIT],140888,0
1780158319846524879,clock_gettime,runc:[2:INIT],140888,0
1780158319846525685,clock_gettime,runc:[2:INIT],140888,0
1780158319846526819,futex,runc:[2:INIT],140888,0
1780158319846529806,futex,runc:[2:INIT],140888,0
1780158319846533447,clock_gettime,runc:[2:INIT],140888,0
1780158319846534214,clock_gettime,runc:[2:INIT],140888,0
1780158319846535607,futex,runc:[2:INIT],140888,0
1780158319846537925,switch,runc:[2:INIT],140888,0
1780158319846539229,futex,runc:[2:INIT],140886,0
1780158319846542612,clock_gettime,runc:[2:INIT],140886,0
1780158319846543368,clock_gettime,runc:[2:INIT],140886,0
1780158319846544283,futex,runc:[2:INIT],140886,0
1780158319846546771,switch,runc:[2:INIT],140886,0
1780158319846605499,nanosleep,runc:[2:INIT],140885,0
1780158319846607589,clock_gettime,runc:[2:INIT],140885,0
1780158319846608375,clock_gettime,runc:[2:INIT],140885,0
1780158319846609181,clock_gettime,runc:[2:INIT],140885,0
1780158319846609868,clock_gettime,runc:[2:INIT],140885,0
1780158319846610922,nanosleep,runc:[2:INIT],140885,0
1780158319846622166,switch,runc:[2:INIT],140885,0
1780158319846704458,nanosleep,runc:[2:INIT],140885,0
1780158319846706508,clock_gettime,runc:[2:INIT],140885,0
1780158319846707304,clock_gettime,runc:[2:INIT],140885,0
1780158319846708011,clock_gettime,runc:[2:INIT],140885,0
1780158319846708687,clock_gettime,runc:[2:INIT],140885,0
1780158319846709633,nanosleep,runc:[2:INIT],140885,0
1780158319846719961,switch,runc:[2:INIT],140885,0
1780158319846803417,nanosleep,runc:[2:INIT],140885,0
1780158319846805537,clock_gettime,runc:[2:INIT],140885,0
1780158319846806333,clock_gettime,runc:[2:INIT],140885,0
1780158319846807049,clock_gettime,runc:[2:INIT],140885,0
1780158319846807746,clock_gettime,runc:[2:INIT],140885,0
1780158319846808731,nanosleep,runc:[2:INIT],140885,0
1780158319846818542,switch,runc:[2:INIT],140885,0
1780158319846902695,nanosleep,runc:[2:INIT],140885,0
1780158319846904974,clock_gettime,runc:[2:INIT],140885,0
1780158319846905889,clock_gettime,runc:[2:INIT],140885,0
1780158319846906635,clock_gettime,runc:[2:INIT],140885,0
1780158319846907441,clock_gettime,runc:[2:INIT],140885,0
1780158319846908625,nanosleep,runc:[2:INIT],140885,0
1780158319846918486,switch,runc:[2:INIT],140885,0
1780158319847002012,nanosleep,runc:[2:INIT],140885,0
1780158319847004211,clock_gettime,runc:[2:INIT],140885,0
1780158319847005007,clock_gettime,runc:[2:INIT],140885,0
1780158319847005724,clock_gettime,runc:[2:INIT],140885,0
1780158319847006410,clock_gettime,runc:[2:INIT],140885,0
1780158319847007525,nanosleep,runc:[2:INIT],140885,0
1780158319847017566,switch,runc:[2:INIT],140885,0
1780158319847101966,nanosleep,runc:[2:INIT],140885,0
1780158319847104414,clock_gettime,runc:[2:INIT],140885,0
1780158319847105210,clock_gettime,runc:[2:INIT],140885,0
1780158319847105956,clock_gettime,runc:[2:INIT],140885,0
1780158319847106633,clock_gettime,runc:[2:INIT],140885,0
1780158319847107608,nanosleep,runc:[2:INIT],140885,0
1780158319847117530,switch,runc:[2:INIT],140885,0
1780158319847201303,nanosleep,runc:[2:INIT],140885,0
1780158319847203592,clock_gettime,runc:[2:INIT],140885,0
1780158319847204428,clock_gettime,runc:[2:INIT],140885,0
1780158319847205164,clock_gettime,runc:[2:INIT],140885,0
1780158319847205841,clock_gettime,runc:[2:INIT],140885,0
1780158319847206975,nanosleep,runc:[2:INIT],140885,0
1780158319847216857,switch,runc:[2:INIT],140885,0
1780158319847301735,nanosleep,runc:[2:INIT],140885,0
1780158319847304213,clock_gettime,runc:[2:INIT],140885,0
1780158319847305058,clock_gettime,runc:[2:INIT],140885,0
1780158319847305825,clock_gettime,runc:[2:INIT],140885,0
1780158319847306501,clock_gettime,runc:[2:INIT],140885,0
1780158319847307596,nanosleep,runc:[2:INIT],140885,0
1780158319847317786,switch,runc:[2:INIT],140885,0
1780158319847405092,nanosleep,runc:[2:INIT],140885,0
1780158319847407700,clock_gettime,runc:[2:INIT],140885,0
1780158319847408566,clock_gettime,runc:[2:INIT],140885,0
1780158319847409342,clock_gettime,runc:[2:INIT],140885,0
1780158319847410028,clock_gettime,runc:[2:INIT],140885,0
1780158319847411262,nanosleep,runc:[2:INIT],140885,0
1780158319847421541,switch,runc:[2:INIT],140885,0
1780158319847513704,nanosleep,runc:[2:INIT],140885,0
1780158319847516172,clock_gettime,runc:[2:INIT],140885,0
1780158319847517057,clock_gettime,runc:[2:INIT],140885,0
1780158319847517754,clock_gettime,runc:[2:INIT],140885,0
1780158319847518440,clock_gettime,runc:[2:INIT],140885,0
1780158319847519505,nanosleep,runc:[2:INIT],140885,0
1780158319847529983,switch,runc:[2:INIT],140885,0
1780158319847615031,nanosleep,runc:[2:INIT],140885,0
1780158319847617459,clock_gettime,runc:[2:INIT],140885,0
1780158319847618255,clock_gettime,runc:[2:INIT],140885,0
1780158319847619101,clock_gettime,runc:[2:INIT],140885,0
1780158319847619797,clock_gettime,runc:[2:INIT],140885,0
1780158319847621021,nanosleep,runc:[2:INIT],140885,0
1780158319847631290,switch,runc:[2:INIT],140885,0
1780158319847716936,nanosleep,runc:[2:INIT],140885,0
1780158319847719125,clock_gettime,runc:[2:INIT],140885,0
1780158319847719911,clock_gettime,runc:[2:INIT],140885,0
1780158319847720607,clock_gettime,runc:[2:INIT],140885,0
1780158319847721314,clock_gettime,runc:[2:INIT],140885,0
1780158319847722368,nanosleep,runc:[2:INIT],140885,0
1780158319847732458,switch,runc:[2:INIT],140885,0
1780158319847816800,nanosleep,runc:[2:INIT],140885,0
1780158319847818820,clock_gettime,runc:[2:INIT],140885,0
1780158319847819606,clock_gettime,runc:[2:INIT],140885,0
1780158319847820322,clock_gettime,runc:[2:INIT],140885,0
1780158319847821009,clock_gettime,runc:[2:INIT],140885,0
1780158319847821984,nanosleep,runc:[2:INIT],140885,0
1780158319847831964,switch,runc:[2:INIT],140885,0
1780158319847916038,nanosleep,runc:[2:INIT],140885,0
